n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2142T1010760P,2,2,5,24,6,4,6,103.8,14.7,720.0,128044.09999999999,128044.09999999999,7705.700000000001,1934,3
2294T2574329X,4,3,4,7,6,7,6,243.5,6.8,100.0,8985.0,20665.5,1445.0,1930,4
2292T1485042E,3,2,5,25,6,7,6,432.3,12.0,16393.3,3072646.0,7067085.8,491341.4,1992,5
2172T0986584X,2,2,4,10,6,7,6,546.7,43.6,100.0,24562.6,42177.6,5341.0,1947,7
2313T2354895B,5,2,4,7,6,7,6,48.4,1.3,100.0,9387.0,21590.1,2723.0,-1,2
2402T0042660O,5,3,0,24,7,7,2,155.0,4.0,1795.0,121002.7,155.1,19447.5,2018,3
2375T4514163F,5,3,4,16,6,7,6,122.3,3.4,100.0,2749.0,6322.7,666.5,-1,3
2138T0847079A,1,2,5,9,6,7,6,126.5,3.5,1845.0,103743.0,238608.9,16643.5,1997,3
2484T0059359Z,5,2,4,9,6,7,6,194.4,5.4,100.0,13678.0,31459.4,3968.0,-1,4
2493T0435792N,5,3,5,10,6,7,3,3122.0,87.0,62.8,255576.0,587826.0,41031.0,1948,7
2287T0430096D,3,2,5,24,6,7,6,246.5,6.9,53.0,11350.0,26105.0,1879.9,1947,4
2335T2055787T,4,2,4,7,6,7,6,133.6,3.7,100.0,9608.0,22098.4,2098.0,-1,3
2334T1251291O,4,3,4,9,6,7,6,142.1,4.0,100.0,4195.0,9648.5,1217.0,-1,3
2213T1012485W,3,2,4,25,6,7,6,109.2,3.0,100.0,9835.0,22620.5,1504.0,-1,3
2321T2354616Q,4,2,4,25,6,7,6,132.2,3.7,100.0,4741.0,10904.3,1073016.0,2007,3
2229T1849027E,3,2,4,25,6,2,6,153.5,39.6,100.0,52860.5,60442.1,11275.1,-1,3
2487T0499409C,5,2,4,10,6,7,6,419.6,11.7,100.0,94728.0,217874.4,72925.0,-1,6
2242T0469560G,3,2,4,19,4,4,2,215.2,48.9,100.0,24427.3,24427.3,1719.2,1948,4
2356T3949405A,5,2,4,19,6,7,6,387.1,10.8,100.0,22510.0,51773.0,4952.0,-1,5
2260T1059397Z,3,2,4,9,4,4,2,216.8,49.2,100.0,31000.0,31000.0,1668.0,-1,4
2394T4023502J,5,2,4,9,6,5,6,27.0,2.6,100.0,9343.0,9343.0,2710.0,-1,1
2169T0296603B,0,2,4,9,6,7,6,481.5,13.4,85.2,19620.0,45126.0,4164.0,1947,6
2331T2629438C,5,2,4,9,6,7,6,167.5,4.7,100.0,9696.0,22300.8,2813.0,1960,3
2224T0474334E,3,2,4,21,6,7,6,200.4,5.6,100.0,75129.0,172796.7,21793.0,2001,3
2280T3071579J,4,3,4,19,7,7,2,303.0,11.1,41.9,6076.0,13974.8,874.9,1970,5
2359T3893203N,5,3,4,9,6,7,6,180.3,5.0,100.0,8254.5,18985.4,2394.5,-1,4
2104T0113825Q,0,6,4,9,6,7,6,359.4,10.0,100.0,3500.0,8050.0,800.0,1947,5
2259T1495515S,3,2,4,7,6,7,6,207.1,5.8,100.0,10400.0,23920.0,3017.0,-1,3
2153T0699881D,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1946,1
2344T1173572T,4,2,4,25,6,7,6,239.2,6.7,100.0,48623.0,111832.9,9747.8,2004,4
2344T1408868P,4,3,4,21,6,4,6,100.1,22.7,100.0,10304.0,10304.0,1032.0,-1,2
2138T0630490R,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,2013,1
2108T0637231U,1,4,4,5,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2345T2144904S,4,3,5,24,6,7,6,185.5,5.2,30.7,2472.0,5685.6,496.7,1900,4
2268T1522400C,3,2,4,9,6,7,6,477.2,13.3,100.0,6833.0,15715.9,875.2,-1,6
2295T2767976X,4,2,4,21,6,7,6,214.3,6.0,100.0,2255.3,5187.3,557.3,-1,4
2238T1059375H,3,2,4,24,6,7,6,83.4,2.4,100.0,19431.0,35955.3,1910.0,2018,2
2254T1537560Q,3,2,4,25,6,7,6,47.9,1.3,100.0,4972.0,11435.6,1442.0,-1,2
2262T3008058O,4,2,4,25,6,7,6,145.8,4.1,100.0,89628.0,206144.4,25998.0,-1,3
2306T0091978N,4,3,5,24,7,7,2,273.3,7.6,86.4,28044.0,64501.2,4539.9,1900,5
2244T0898739F,3,2,4,21,6,7,6,1833.0,51.0,100.0,136901.5,314873.5,39711.0,2006,7
2119T0329055H,0,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2157T0824400M,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1952,1
2350T0281979Y,4,2,4,9,6,7,6,1361.8,37.9,100.0,102905.0,236681.5,20963.0,-1,7
2269T2823756H,4,3,4,9,4,7,3,317.1,16.7,100.0,12345.1,24419.5,3000.8,-1,5
2267T3086286N,4,2,4,19,6,4,6,139.1,24.7,100.0,8373.0,9732.3,873.0,-1,3
2360T2117606J,4,2,4,25,6,4,6,106.6,20.5,100.0,21668.2,24027.7,6285.0,-1,2
2267T1025705K,3,2,4,25,6,3,6,91.9,15.7,100.0,66191.3,86400.3,7796.3,1998,3
2162T0599219W,1,2,4,5,6,7,6,211.6,23.6,100.0,71466.5,106243.1,9053.6,1948,4
2269T0875112L,2,2,5,24,6,7,6,438.4,37.2,3500.0,1662615.0,3824014.5000000005,0.0,1985,5
2392T0468164N,4,2,4,25,6,7,6,143.0,4.0,100.0,255386.3,587388.6,20431.0,-1,3
2251T1071598X,3,2,5,25,6,7,6,251.4,7.0,68.0,22298.0,51285.399999999994,3621.2,1997,4
2135T0183608U,0,6,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1989,1
2259T0048906X,2,2,4,21,6,4,6,540.2,112.5,100.0,26558.6,28048.399999999998,3158.0,1947,5
2222T2506538U,4,2,5,24,6,7,1,38.2,1.1,359.1,6559.0,15085.7,1097.4,1974,1
2339T2750015Z,5,2,5,24,6,7,6,309.9,8.6,75.1,10087.0,23200.1,1681.2,1970,5
2167T0600678E,1,2,5,24,6,7,6,88.3,2.5,59.6,2097.0,4823.1,601.1,2000,2
2147T0384783T,0,4,4,21,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2331T1413256W,4,2,4,9,6,7,6,260.0,7.2,100.0,3606.0,8293.8,600.0,-1,4
2174T0924446B,2,2,4,21,6,7,6,335.2,27.3,100.0,24907.100000000002,42415.50000000001,5179.2,1973,4
2338T3904545Y,5,2,4,21,6,4,6,122.8,25.9,100.0,687044.1,719850.9,199312.0,1890,3
2359T2296726O,5,2,5,24,6,4,6,161.5,29.9,324.0,123977.0,123977.0,8056.9,1997,3
2283T1845305C,3,2,4,7,6,7,6,213039.4,5928.1,100.0,20449000.0,47032700.0,3000.0,1949,7
2171T0717192Q,1,4,4,21,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2229T0461568J,3,2,4,25,6,4,6,184.9,31.0,100.0,11820.4,14218.9,709.5,1947,3
2168T0642399W,1,2,4,8,6,7,6,257.3,9.2,100.0,3948310.0,7442860.8,527964.0,1948,4
2138T0827768H,1,2,5,2,6,7,6,463.3,12.9,1221.0,737917.0,1697209.0999999999,118041.49999999999,2001,4
2259T0549810L,3,2,4,10,6,7,6,528.9,45.2,100.0,62492.7,104481.4,9292.0,1947,7
2313T3629436W,5,2,4,21,6,7,6,16.0,0.4,100.0,130.0,299.0,30.0,-1,1
2336T2765212J,5,2,4,9,6,7,6,210.2,17.7,100.0,24041.4,40456.5,2658.0,-1,4
2167T0480015H,0,4,4,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,2006,1
2369T2009630U,4,2,4,21,6,7,6,108.7,3.0,100.0,1806.8,4155.6,270.7,-1,2
2354T0789411S,4,3,4,10,6,3,6,253.3,44.7,100.0,37542.0,48205.9,5642.0,-1,4
2177T0459361H,0,6,0,24,7,7,2,237.0,8.0,93.5,9652.0,237.4,965.2,1945,4
2169T0646028M,1,4,4,6,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2354T2994237S,5,2,5,9,6,7,4,120.0,18.0,1055.0,243870.0,243870.0,17931.0,2004,1
2329T0182919D,4,2,4,19,6,7,6,236.5,6.6,179.0,36814.0,84672.20000000001,5942.200000000001,1979,4
2477T0139723Q,5,3,4,9,6,3,6,99.6,27.1,100.0,117300.0,117300.0,13819.0,-1,3
2234T1412072K,3,2,4,10,6,7,6,196.7,5.5,100.0,14193.0,32643.9,4351.0,-1,4
2351T2987393J,5,3,5,25,7,7,2,173.0,4.8,56.0,4212.0,9687.6,761.2,2000,3
2392T3462605I,5,2,4,25,6,7,6,130.2,3.6,100.0,2406.7,5535.3,698.0,-1,3
2195T0852977B,2,4,4,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1989,1
2360T1490447W,4,2,5,24,6,2,6,919.2,232.3,11.0,8735.199999999999,10111.0,1008.8,1980,7
2217T2882511C,4,2,5,24,6,7,3,170.9,4.8,684.2,50841.0,116934.3,8185.0,1989,3
2144T1018535S,2,2,4,16,6,4,6,87.2,14.9,100.0,155310.3,184635.69999999998,3415.0,1948,2
2235T0416388X,2,2,5,24,6,7,6,79.7,2.2,1555.0,161753.0,372031.9,25918.7,1980,2
2292T3215590S,4,2,0,24,4,7,2,107.0,11.0,1530.0,109829.40000000001,107.2,0.0,1945,3
2331T2633929V,5,2,4,25,6,7,6,167.8,4.7,100.0,8986.5,20669.0,1416.5,-1,3
2322T4053798V,5,3,0,24,7,7,2,368.0,10.0,68.2,10925.3,368.5,2446.1,1945,5
2344T2786123Y,5,2,4,25,6,7,6,86.6,2.4,100.0,23939.0,55059.7,6943986.0,1996,2
